Protected_Index,Original_Index,Protected_Identifier,Original_Identifier,Protected_Name,Original_Name
0,220,624cc31c096e405e380a419277f92edd,1742,b2a02e833d5fb0a1acec8eac484a5c35,Faqid Sant
1,975,a8f1a245b4c929389f2bb9ce3f362fc6,8215,7b19b2e03de65d3649c37ed89aeb15eb,Samar Modi
2,4665,7601fa252b7ce657d7d621e9686f5521,18415,1f32b8f37b1e36aab60921c7f8f6ea52,Manbir Sami
3,2171,c696ee63588d3c6a521a584091b295d0,17804,6afbc0354b501c51e22b8e5366852b0b,Liam Dey
4,2065,59a2a1627c9c944bf545fdb19efae3e6,17072,d8f9a49bc440b88a5471766e0b037fa8,Manthan Aurora
5,1395,590f14c16c4724f9a227379e657b8523,11550,b604b65d4ebac32d054a8dad6830e125,Wyatt Chhabra
6,2146,3cb38d49c4095ffa69dceb60ed3149a2,17595,8ec349cb23aaf4d9fc362fbc048f7a26,Riya Hari
7,257,fb8fd3b3de4e57fb2cccb81a33539d77,2003,4db490e8a847b39b1f7461186d053780,Lila Dani
8,2164,241995960f7e581b7b939f5aae3a9246,17713,a22a33e97e157445c996310c5287c76b,Harshil Pandey
9,2216,2465c7a98ab6b9d5cebc6f7238e88bdb,18156,621b8bc48d49f9a15afd74e1c0053cfe,Isaac Dhar
10,1782,a78091cf629da764f5c0e3be9b10576a,14812,3e7702924f08eaebc0648e6fa07e592f,Jagdish Dhillon
11,1026,82bb217cf5d8fb97366c2b0e916d960a,8613,4164c261e5408c89664d426a3e703d5d,Ansh Vala
12,1861,e5520243bfeb4f6cfc02d76b1bebebf5,15410,24e43dd4991ed70c519b1e48d55f9d2d,Neel Narula
13,4316,a121b2baf507fa07f9709d9c2368b3b5,17545,ad0b2cecd0eb7c29e55e174531214b2b,Neelima Kar
15,25,62d6a26f977f4aa8d7b8b02684507c3e,171,c90e89d0761267187d7aef9a0374fc15,Triya Deep
16,1815,da49fe98ea1884a01cdd3f8d225b529c,15017,532e9b2f1170564ef31c55d4bbf0d368,Jairaj Singh
17,1868,29ff6c3d5b78f9470199713adc877019,15448,1d63d8169ef5bf1333c9a5915ab7170a,Damyanti Mandal
18,323,57f012984b53926572318a6dd26a1c95,2529,d8d793488a57a05571f5dac2c3e52404,Pavani Behl
19,845,d86ad394f528a6d0252c4a31e33a62e5,7146,16112b4296bcc4a3ca10f7b53d011d4a,Rehaan Wadhwa
20,1001,382c905fdc9ce6b1ee9c73e0752f0b52,8399,b99d0873296f996798983f9f8c32a38f,Samesh Sampath
21,2438,ff733daa5e7cd09510d9d22663eb241c,19923,4ef455f4cf242631892a666cae00f67e,Amara Agate
